SMILES,Cls
C1=CC(=C(C(=C1)Cl)C2=NOC(=N2)C3=CC=C(C=C3)Br)F,0
CCOC(=O)C1=C(N(C2=C1C=C(C3=CC=CC=C32)OC)C)CC4=CC(=CC=C4)Cl,0
CCOC(=O)C1=C(NC2=C1C=C(C3=CC=CC=C32)C4=CC=CC=C4)CC5=CC(=CC=C5)Cl,0
COC(=O)C1=C(NC2=CC=CC=C21)NCC=C,0
CNCCCN=C1C=CN(C2=C1C=CC(=C2)Cl)CC3=CC(=CC=C3)Cl,0
C[C@@H]1[C@H](C(=O)N1)NC(=O)OCCCCC2CCCCC2,0
CN(C)C1=CC(=C(C=C1)/C=C/C(=O)C2CCC3=CC=CC=C3C2=O)[N+](=O)[O-],0
CCOC1=CC=C(C=C1)S(=O)(=O)N(CC(=O)N2CCC3=CC=CC=C3C2)C4=CC=CC=C4,0
CC(C1=C(N=CN=C1OCC2=CC=CC=C2)OCC3=CC=CC=C3)O,0
C1COCC(C1=O)C2CC(=O)N(C2=O)C3=CC=CC=C3,0
CC1=NOC2=C1C(=O)N(N=C2CC3=CC=C(C=C3)OC)CC4=NNC(=S)N4C,0
C1=CC=C(C=C1)S(=O)C2=C(C=CN=C2)NS(=O)(=O)C(F)(F)F,0
CC1([C@@H](C(=O)N1)NC(=O)OCCCCC2CCCCC2)C,0
C1CCN(C1)C(=O)CCC2=CC=C(C=C2)C3=CC(=CC=C3)Cl,0
C1=CC=C2C(=C1)C(=O)N(C2=O)C3=CC=C(C=C3)S(=O)(=O)N,0
CC(C)(C)N1C2=C(C=N1)C(=O)N(C=N2)CC3=C(C=C(C=C3)Cl)Cl,0
CCOC(=O)CN1C2=C(N=C1N3CCCCCC3)N(C(=O)NC2=O)C,0
COC(=O)/C(=C\NC1=C(C=C(C=C1)Cl)Cl)/NC(=O)C2=C(C=C(C=C2)Cl)Cl,0
CC1=C(C(=CC=C1)C)OC2=CC=CC(=N2)C3=C(N=NN3C4CCNCC4)C,0
CC1=CC(=C(C=C1)O)C2=NNC(=C2)C(C(F)F)(F)F,0
CC(C)C[C@H]1C(=O)N[C@H](C(=O)N2CC3=CC=CC=C3C[C@H]2C(=O)N[C@H](C(=O)N4CCC[C@H]4C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)NCC(=O)N[C@@H](CSCC(=O)N[C@H](C(=O)N1)CC5=CC=C(C=C5)O)C(=O)N)CCCN=C(N)N)CC(=O)O)CCCCN)CCCN=C(N)N)CCCN=C(N)N,0
CSC1=CC=C(C=C1)S(=O)(=O)N2CCCC2,0
CC1=C(N(N=N1)C2CCNCC2)C3=NC(=CC=C3)OC4=CC(=CC(=C4)C5CCCC5)C6CCCC6,0
C1CCC(=O)C(C1)C2CC(=O)N(C2=O)C3=CC=C(C=C3)S(=O)(=O)N,0
CC1=CC=C(C=C1)S(=O)(=O)NC2=CC=C(C=C2)S(=O)(=O)N3CCCC3,0
CCN1C(=NNC1=S)CN2C(=O)C3=C(C(=N2)CC4=CC=C(C=C4)OC)ON=C3C,0
C1=CC=C2C(=C1)C(=O)N(C2=O)CC3=CC=C(C=C3)S(=O)(=O)N,0
COC1=C(C(=C(C=C1)/C=C\2/C(=O)OC(=N2)C3=CC(=C(C=C3)Cl)[N+](=O)[O-])OC)OC,0
CC1=CC(=C(C(=C1)C)S(=O)(=O)N2CCC(CC2)C(=O)NCC3=C(C=C(C=C3)Cl)Cl)C,0
CC1=CC(=C(C(=C1)C)NC(=O)COC2=CC=C(C=C2)C(=S)N3CCCCC3)C,0
CC1=CC=CC=C1CNC(=O)CCCC(=O)N2C3=CC=CC=C3C(=N2)C,0
CC1=CC(=O)C2=C(N1)C(=CC=C2)Br,0
C1=CC(=CC=C1C(=O)NNC(=O)C2=NN(C=CC2=O)C3=CC=C(C=C3)F)Cl,0
C1=CC=NC(=C1)C(=O)NNC(=O)CC(C2=CC=C(C=C2)Cl)NC(=O)N,0
CC(=O)N1C(CC(=N1)C2=C(N(C(=O)N(C2=O)C)C)O)C3=CC=CC=C3,0
CC1=CC(=CC(=C1OC(=S)N(C)C)C)C(=O)CSC2=CC=C(C=C2)F,0
C1CN(C2=CC=CC=C21)C(=O)C(CC3=CC=CC=C3)N4C(=O)C5=CC=CC=C5C4=O,0
CC[C@@H](C)C(C1=CN(N=N1)[C@@H](CCCN=C(N)N)C(=O)N2CCN(CC2)C3=NC(=NC(=N3)NCCOCCOCCOCC#C)N4CCN(CC4)C(=O)[C@H](CCCN=C(N)N)N5C=C(N=N5)C([C@@H](C)CC)N)N,0
C1COC2=C(O1)C=CC(=C2)C(=O)COC3=NC=NC4=CC=CC=C43,0
CC1=NOC2=C1C(=O)N(N=C2CC3=CC=C(C=C3)OC)CC4=NN=C(S4)NC,0
C1=CC(=C(C=C1Cl)SCC(=O)NCC(=O)NC2=C(C(=C(C=C2)F)F)F)Cl,0
C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,0
CCOC(=O)C1=CN=C(N=C1N)SCC(=O)C2=CC=C(C=C2)C,0
CC[C@@H](C)[C@@H](C1=CN(N=N1)[C@@H](CCCCN)C(=O)N2CCN(CC2)C3=NC(=NC(=N3)NCCOCCOCCOCC#C)N4CCN(CC4)C(=O)[C@H](CCCN=C(N)N)N5C=C(N=N5)C([C@@H](C)CC)N)N,0
C1CCC(C(=O)CC1)C2CC(=O)N(C2=O)C3=CC=CC=C3,0
CCCS(=O)(=O)NC1=C(C=NC=C1)OC2=CC=CC=C2,0
CC(=O)NC1=CC=C(C=C1)C(=O)NNC(=S)NC(=O)C2=CC(=C(C=C2)OC)Br,0
CC1=C(SC(=C1C#N)NC(=O)C2=CC=C(C=C2)Cl)C(=O)N3CCCC3,0
CC1=C(C(=CC=C1)N2C(=C(C(=O)NC2=O)C=NCCCN3CCOCC3)O)C,0
C1=CC=C2C(=C1)C(=CN2)CCNC(=O)CCCCCN3C(=O)C4=CC=CC=C4NC3=O,0
C1=CC2=C3C(=C1)C(=O)N(C(=O)C3=CC=C2)CC4=CN=CC=C4,0
CC1CCC(CC1)N2CC(=O)N(C(C2=O)C3=CC=C(C=C3)C)C4CCCC4,0
CC(C)C1=CC=C(C=C1)NC(=O)C[N+]2=CN(C=C2)C3=C(C4=CC=CC=C4C3=O)[O-],0
COC1=CC=CC=C1NC(=O)CN2CCC(CC2)N3C4=C(C=C(C=C4)F)N=N3,0
CC(=O)OC1=CC2=C(C=C1)C3(CC(O2)C4=CC=CC=C4)CC(NC(=S)N3)(C)C,0
COC1=CC2=C(C=C1)OC3=CC=CC=C3C2C4C(=O)CCCC4=O,0
C=CCC1=CC=CC=C1OCC(CN2CCN(CC2)CCN3C(=O)C4=CC=CC5=C4C(=CC=C5)C3=O)O.Cl,0
C1CC[NH+](CC1)CCOC2=CC=C(C=C2)C(=O)C3=C(SC4=C3C=CC(=C4)O)C5=CC=C(C=C5)O.[Cl-],0
CC1=C(C(=NN1C)C)NC(=O)/C=C/C2=CC(=C(C=C2)OC)COC3=C(C=C(C=C3)Cl)Br,0
C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO.Cl,0
CCC(C)(C)C1=CC(=C(C=C1)OCCCC[N+]2=CC=CC=C2)C(C)(C)CC.[Br-],0
C1CC(OC1)CNC(=O)CSC2=NC3=C(C(=O)N2CC4=CC=C(C=C4)C(=O)O)SC=C3,0
C1CCC(CC1)C[C@H]2CN=C(N2CCC3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F)N,0
CN1CCN(CC1)C(=O)CN(CC2=CC=CC=C2)S(=O)(=O)C,0
CC(=O)NC(=S)NNC(=O)C1=CC=C(C=C1)Br,0
COC1=CC=C(C=C1)C2=NN=C3N2N=C(S3)/C=C/C4=CC=CC=C4OC,0
CCCCC#CC1=CC(=C(C=C1)NCC2CCNCC2)C(=O)N,0
CC[C@@H](C)[C@@H](C1=CN(N=N1)[C@@H](CCCCN)C(=O)N2CCN(CC2)C3=NC(=NC(=N3)N4CCN(CC4)C(=O)[C@H](CCCCN)N5C=C(N=N5)[C@H](CC(=O)N)N)NCCOCCOCCOCC#C)N,0
C1=CC=C(C(=C1)C(=O)C2=CN=C(S2)NC3=CC=CC(=C3)N)Cl,0
CCCCCNC1=NC2=CC=CC=C2N=C1NS(=O)(=O)C3=CC=CS3,0
C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl)CCO,0
C1CCC(C(=O)CC1)C2CC(=O)N(C2=O)C3=CC=C(C=C3)S(=O)(=O)N,0
CSCC[C@H](C(=O)NCCCCCCCCCCC(=O)N1CCN(CC1)C2=NC(=NC(=N2)N3CCN(CC3)C(=O)CCCCCCCCCCNC(=O)[C@H](CCC(=O)O)N4C=C(N=N4)CCCCCN)NCCOCCOCCOCC#C)N5C=C(N=N5)CCO,0
COC1=CC=C(C=C1)C2=NC3=C(C=NN3C(=C2)C(F)F)C(=O)N4CCSCC4,0
COC1=CC=C(C=C1)C2=NC(=NC(=C2)C#N)N3CCNCC3,0
CC1=CC=CC=C1C(=O)N2CCN(CC2)C3=CC=C(C=C3)NC(=S)NC(=O)C4=CC=CS4,0
C(CCNCCCN)CNCCCN.Cl,0
C/C(=C/1\C(=O)N(C(=S)S1)CCC(=O)O)/C2=CC=C(C=C2)O,0
CC[C@H](C)C(C(=O)N1CCN(CC1)C2=NC(=NC(=N2)N3CCN(CC3)C(=O)[C@H](CCCCN)N4C=C(N=N4)C(CC(C)C)N)NCCOCCOCCOCC#C)N5C=C(N=N5)C(COC(=O)C(F)(F)F)N.Cl,0
CCOC(=O)C1=CC(=CC=C1)NC2=NC(=NC3=CC=CC=C32)C4=CN=CC=C4.Cl,0
CCCCCCCCCCOC(=O)CN1C2=CC=CC=C2[N+](=C1COC3=CC=CC=C3OC)C.[Cl-],0
C1=CC(=CC=C1NC(=O)CSC2=NN=NN2C3=CC(=C(C=C3)Cl)C(=O)O)F,0
C1=CC=C(C=C1)CCOC(=O)C(CC(=O)O)NCC2=CC=CO2,0
CCCC1=NN=C(S1)NC(=O)C2=NC(=NC=C2Cl)S(=O)(=O)CC3=CC=C(C=C3)C,0
COC1=C(C=C(C=C1)NC(=O)C2=CC=CC=C2Cl)NC(=O)CN3CCOCC3,0
CC1=NN(C2=C1C(=O)/C(=C/NC3=CC=CC=C3C(=O)OC)/CC2)C4=CC=CC=N4,0
CN(C1=CC(=C(C=C1)/C=C\2/C(=O)/C(=C/C3=C(C=C(C=C3)N(C)C)[N+](=O)[O-])/CN(C2)CC4=CC=CC=C4)[N+](=O)[O-])C,0
C1COCCN1C2=CC=CC=C2NC(=O)COC(=O)C3=CC=CC=C3,0
COC1=CC=C(C=C1)CN2C(=O)C3=C(C=CS3)N=C2SCC(=O)NCC4=CC=CO4,0
CC1=CC=C(C=C1)NC(=O)C[N+]2=CN(C=C2)C3=C(C4=CC=CC=C4C3=O)[O-],0
CC1=C(N(N=N1)C2CCNCC2)C3=NC(=CC=C3)OC4=CC(=CC(=C4)C(F)(F)F)C(F)(F)F,0
COC1=C(C=C(C=C1)CN2CCN(CC2)C(=O)C3=CC=CO3)OCC4=CC=CC=C4,0
CC1=CC(=CC=C1)C2=N/C(=C\C3=CC=C(O3)C4=CC(=CC=C4)Cl)/C(=O)O2,0
C1CCN(C1)C(=O)CCCCCCC2=CC=CS2,0
CCCCSC1=NN=C2N1C3=C(C4=C(S3)COC(C4)(C)C)C(=O)N2CCC5=CC=CC=C5,0
CC(C(=O)NCCC1=CC(=C(C=C1)OC)OC)SC2=CC=CC=C2,0
CC(C)C[C@@H](C1=CN(N=N1)[C@@H](CC2=CC3=CC=CC=C3N2)C(=O)N4CCNCC4)N.Cl,0
CC(C)C[C@@H](C1=CN(N=N1)[C@@H](CCCCN)C(=O)N2CCN(CC2)C3=NC(=NC(=N3)NCCOCCOCCOCC#C)N4CCN(CC4)C(=O)[C@H](CCCCN)N5C=C(N=N5)[C@H](CC(C)C)N)N.Cl,0
CC1=C(C(=NO1)C)C2=CC(=C(C=C2)OC)S(=O)(=O)NCC3=CC=CC=C3,0
C1=CC2=C(C=C1CC3=CC4=C(C=C3)N=C(N4)CCN)NC(=N2)CCN,0
CCN1C(=NC2=C1C=CC(=C2)C(=O)NNS(=O)(=O)C3=CC(=C(C=C3)C)C)C,0
CS(=O)(=O)N(CC(=O)NC1=CC=CC=C1SC2=CC=CC=C2)C3=CC=C(C=C3)F,0
CN(C)C1=NC(=NC2=C1CCCC2)SCC3=CC=CC=C3Cl,0
